package,version,relationship,license,status
"@swc/core-win32-x64-msvc","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/counter","0.1.3","transitive","Apache-2.0","FLAGGED"
"@swc/helpers","0.5.23","transitive","Apache-2.0","FLAGGED"
"@swc/types","0.1.28","transitive","Apache-2.0","FLAGGED"
"@testing-library/dom","10.4.1","direct-development","MIT","MIT"
"@testing-library/jest-dom","7.0.1","direct-development","MIT","MIT"
"@testing-library/react","16.3.3","direct-development","MIT","MIT"
"@tsconfig/node18","1.0.3","transitive","MIT","MIT"
"@tweenjs/tween.js","23.1.3","transitive","MIT","MIT"
"@tybys/wasm-util","0.10.3","transitive","MIT","MIT"
"@types/aria-query","5.0.4","transitive","MIT","MIT"
"@types/chai","5.2.3","transitive","MIT","MIT"
"@types/deep-eql","4.0.2","transitive","MIT","MIT"
"@types/draco3d","1.4.10","transitive","MIT","MIT"
"@types/estree","1.0.9","transitive","MIT","MIT"
"@types/json-schema","7.0.15","transitive","MIT","MIT"
"@types/json5","0.0.29","transitive","MIT","MIT"
"@types/node","18.19.130","direct-development","MIT","MIT"
"@types/node","22.20.1","direct-development","MIT","MIT"
"@types/node-fetch","2.6.13","transitive","MIT","MIT"
"@types/offscreencanvas","2019.7.3","transitive","MIT","MIT"
"@types/react","19.2.18","direct-development","MIT","MIT"
"@types/react-dom","19.2.5","direct-development","MIT","MIT"
"@types/react-reconciler","0.28.9","transitive","MIT","MIT"
"@types/stats.js","0.17.4","transitive","MIT","MIT"
"@types/three","0.168.0","direct-development","MIT","MIT"
"@types/webxr","0.5.24","transitive","MIT","MIT"
"@typescript-eslint/eslint-plugin","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/parser","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/project-service","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/scope-manager","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/tsconfig-utils","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/type-utils","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/types","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/typescript-estree","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/utils","8.68.0","transitive","MIT","MIT"
"@typescript-eslint/visitor-keys","8.68.0","transitive","MIT","MIT"
"@unrs/resolver-binding-android-arm-eabi","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-android-arm64","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-darwin-arm64","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-darwin-x64","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-freebsd-x64","1.12.2","transitive","MIT","MIT"
"@unrs/resolver-binding-linux-arm-gnueabihf","1.12.2","transitive","MIT","MIT"
